TWD/TWS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
32, 0.50, 1.00, 1.49, 1.99, 2.51, 3.03, 3.51, 3.95, 4.34, 4.68, 4.97, 5.21, 5.40, 5.56, 5.69, 5.79, 5.86, 5.90, 5.94, 5.98
33, 0.52, 1.04, 1.57, 2.09, 2.56, 3.03, 3.59, 4.11, 4.48, 4.78, 5.09, 5.36, 5.56, 5.71, 5.84, 5.93, 6.00, 6.04, 6.08, 6.12
34, 0.54, 1.08, 1.65, 2.19, 2.61, 3.03, 3.66, 4.27, 4.62, 4.89, 5.22, 5.52, 5.72, 5.86, 5.98, 6.08, 6.14, 6.19, 6.22, 6.26
35, 0.56, 1.12, 1.73, 2.29, 2.66, 3.04, 3.74, 4.42, 4.75, 4.98, 5.34, 5.67, 5.87, 6.01, 6.13, 6.22, 6.28, 6.32, 6.36, 6.40
36, 0.58, 1.16, 1.81, 2.39, 2.71, 3.06, 3.83, 4.57, 4.85, 5.03, 5.43, 5.81, 6.01, 6.14, 6.26, 6.34, 6.40, 6.44, 6.48, 6.52
37, 0.60, 1.20, 1.87, 2.48, 2.82, 3.20, 3.98, 4.71, 4.91, 5.04, 5.49, 5.94, 6.14, 6.26, 6.36, 6.44, 6.50, 6.54, 6.58, 6.62
38, 0.62, 1.24, 1.92, 2.56, 3.02, 3.48, 4.20, 4.84, 4.96, 5.04, 5.55, 6.06, 6.26, 6.36, 6.46, 6.53, 6.59, 6.63, 6.67, 6.70
39, 0.64, 1.28, 1.97, 2.64, 3.24, 3.81, 4.45, 4.96, 5.01, 5.06, 5.60, 6.17, 6.37, 6.45, 6.55, 6.62, 6.67, 6.71, 6.74, 6.78
40, 0.66, 1.32, 2.02, 2.72, 3.41, 4.05, 4.70, 5.07, 5.07, 5.08, 5.59, 6.27, 6.47, 6.54, 6.63, 6.69, 6.74, 6.78, 6.81, 6.85
41, 0.67, 1.36, 2.07, 2.80, 3.52, 4.19, 4.83, 5.18, 5.19, 5.20, 5.70, 6.36, 6.55, 6.62, 6.70, 6.76, 6.81, 6.85, 6.88, 6.92
42, 0.69, 1.39, 2.13, 2.87, 3.61, 4.29, 4.86, 5.27, 5.37, 5.46, 5.95, 6.45, 6.62, 6.69, 6.76, 6.82, 6.87, 6.91, 6.94, 6.98
43, 0.71, 1.43, 2.19, 2.94, 3.68, 4.36, 4.93, 5.37, 5.58, 5.77, 6.16, 6.52, 6.68, 6.75, 6.82, 6.88, 6.92, 6.96, 6.99, 7.03
44, 0.72, 1.46, 2.24, 3.01, 3.75, 4.42, 4.99, 5.46, 5.79, 6.07, 6.35, 6.59, 6.73, 6.81, 6.88, 6.93, 6.97, 7.01, 7.05, 7.08
45, 0.74, 1.49, 2.29, 3.08, 3.82, 4.49, 5.06, 5.54, 5.95, 6.28, 6.50, 6.66, 6.78, 6.86, 6.93, 6.98, 7.02, 7.06, 7.09, 7.13
46, 0.75, 1.52, 2.34, 3.15, 3.89, 4.57, 5.13, 5.62, 6.06, 6.41, 6.60, 6.72, 6.83, 6.91, 6.98, 7.03, 7.07, 7.11, 7.14, 7.18
47, 0.77, 1.55, 2.40, 3.22, 3.97, 4.64, 5.21, 5.70, 6.15, 6.50, 6.67, 6.78, 6.88, 6.97, 7.03, 7.07, 7.11, 7.15, 7.19, 7.22
48, 0.78, 1.58, 2.45, 3.30, 4.05, 4.71, 5.28, 5.77, 6.21, 6.55, 6.73, 6.83, 6.93, 7.02, 7.07, 7.11, 7.15, 7.19, 7.23, 7.27
49, 0.80, 1.61, 2.50, 3.37, 4.12, 4.78, 5.35, 5.84, 6.27, 6.59, 6.77, 6.87, 6.98, 7.07, 7.12, 7.15, 7.19, 7.23, 7.27, 7.31
50, 0.81, 1.64, 2.54, 3.42, 4.18, 4.84, 5.42, 5.91, 6.31, 6.62, 6.80, 6.92, 7.03, 7.11, 7.16, 7.19, 7.23, 7.27, 7.31, 7.35
